pH,Moisture,Nitrogen,SoilType,Crop
8.63,42.72,4.39,Sandy,Maize
4.31,23.86,8.29,Loam,Maize
9.25,22.51,9.89,Loam,Maize
6.78,30.02,2.35,Loam,Maize
8.65,53.94,6.35,Loam,Maize
9.27,67.17,4.43,Sandy,Maize
5.23,62.82,9.73,Loam,Maize
3.77,32.39,8.58,Clay,Maize
4.6,86.39,8.54,Clay,Maize
5.99,69.03,5.22,Loam,Maize
8.73,54.35,4.73,Loam,Maize
9.03,58.94,3.46,Clay,Maize
3.05,43.57,1.51,Clay,Maize
6.58,29.82,8.78,Sandy,Maize
5.92,38.48,8.32,Clay,Wheat
4.55,70.63,10.0,Clay,Maize
3.84,11.15,9.97,Loam,Maize
5.36,19.29,6.0,Clay,Wheat
9.6,13.68,7.92,Sandy,Maize
5.26,13.26,9.5,Clay,Wheat
6.63,78.44,8.65,Loam,Maize
7.92,66.29,3.23,Loam,Maize
5.55,47.93,5.05,Clay,Wheat
9.8,17.83,2.16,Loam,Maize
9.74,49.33,9.59,Sandy,Maize
4.76,47.88,6.46,Sandy,Maize
6.48,23.86,3.06,Clay,Maize
5.11,44.71,7.05,Clay,Wheat
4.99,41.88,6.56,Clay,Maize
3.26,59.27,4.22,Loam,Maize
7.27,60.81,2.02,Sandy,Maize
6.52,13.62,7.04,Sandy,Maize
3.36,39.97,5.68,Loam,Maize
4.95,60.07,7.95,Sandy,Maize
9.36,50.25,5.68,Clay,Maize
4.68,78.52,8.67,Clay,Maize
4.01,62.7,5.97,Clay,Maize
6.43,23.03,6.05,Sandy,Maize
9.9,15.65,8.89,Clay,Maize
4.69,61.39,4.63,Loam,Maize
7.7,12.12,2.21,Loam,Maize
8.33,56.86,1.26,Sandy,Maize
4.66,85.22,7.8,Loam,Rice
8.1,56.04,6.58,Loam,Maize
5.57,41.05,7.34,Sandy,Maize
7.43,61.46,2.92,Clay,Maize
7.43,46.66,2.23,Clay,Maize
6.75,53.65,1.13,Clay,Maize
3.63,85.32,4.16,Sandy,Maize
8.85,40.89,6.31,Loam,Maize
5.25,86.9,4.53,Clay,Maize
4.31,82.43,4.94,Clay,Maize
3.29,25.66,9.14,Sandy,Maize
7.14,15.55,4.13,Clay,Maize
7.74,18.06,5.63,Sandy,Maize
3.12,11.46,8.05,Loam,Maize
6.58,17.56,4.57,Sandy,Maize
4.59,64.64,6.6,Sandy,Maize
7.52,15.7,8.76,Sandy,Maize
4.22,35.52,9.55,Sandy,Maize
7.84,77.59,2.32,Loam,Maize
5.71,11.86,9.34,Loam,Maize
9.56,75.16,5.43,Clay,Maize
3.96,32.55,3.32,Loam,Maize
5.39,19.45,5.13,Loam,Maize
3.79,65.74,9.82,Clay,Maize
9.47,60.32,5.43,Loam,Maize
9.14,80.2,3.96,Sandy,Maize
4.81,68.81,6.7,Sandy,Maize
7.62,74.28,3.16,Clay,Maize
8.72,32.56,1.68,Clay,Maize
6.89,24.2,2.16,Clay,Maize
6.71,70.05,2.15,Sandy,Maize
4.69,74.55,2.37,Loam,Rice
3.65,89.24,2.25,Sandy,Maize
9.28,43.01,6.77,Clay,Maize
9.3,39.76,2.64,Loam,Maize
7.43,72.11,4.11,Loam,Maize
5.37,37.26,9.07,Sandy,Maize
5.44,84.46,5.27,Clay,Wheat
8.08,78.67,7.01,Sandy,Maize
9.28,44.32,2.55,Loam,Maize
9.21,70.07,2.73,Sandy,Maize
8.46,70.36,1.37,Sandy,Maize
